Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
X,United States Steel Corp,25.93,-0.15,-0.58%,11.75%,151858,22.5%,77.5%,0.290486509454,05/28/21
FUBO,Fubotv Inc,23.74,-1.87,-7.30%,10.19%,147540,18.2%,81.8%,0.2231599542372,05/28/21
DKNG,Draftkings Inc,49.95,-0.45,-0.89%,0.00%,143696,19.9%,80.1%,0.24814119936071,05/28/21
BABA,Alibaba Group Holding,213.96,1.22,+0.57%,0.00%,135138,31.0%,69.0%,0.44878158602871,05/28/21
SQ,Square,222.52,1.62,+0.73%,0.00%,130028,38.5%,61.5%,0.62616308154077,05/28/21
MVIS,Microvision,15.6,-0.23,-1.45%,9.02%,129478,15.3%,84.7%,0.18110997591768,05/28/21
ABNB,Airbnb Inc Cl A,140.4,-2.77,-1.93%,0.00%,125657,25.8%,74.2%,0.34778831302557,05/28/21
RBLX,Roblox Corporation Cl A,93.77,-3.7,-3.80%,39.25%,115721,33.0%,67.0%,0.49257716268331,05/28/21
NKLA,Nikola Corp,14.96,-0.53,-3.42%,7.75%,114490,30.5%,69.5%,0.43934727128723,05/28/21
ACB,Aurora Cannabis Inc,9.66,0.69,+7.69%,6.98%,113908,12.7%,87.3%,0.14595573440644,05/28/21
CCL,Carnival Corp,29.56,-0.44,-1.47%,5.88%,104250,22.5%,77.5%,0.29009504009504,05/28/21
BBIG,Vinco Ventures Inc,2.83,-0.47,-14.24%,53.46%,102643,1.6%,98.4%,0.01579463022158,05/28/21
BBBY,Bed Bath & Beyond,27.99,0.98,+3.63%,12.32%,101796,43.9%,56.1%,0.78254854921463,05/28/21
IPOE,Social Capital Hedosophia Corp V Cl A,20.15,0.36,+1.82%,49.18%,100239,9.3%,90.7%,0.10310333443381,05/28/21
VIAC,Viacom CBS Cl B,42.42,-0.73,-1.69%,12.22%,100230,40.5%,59.5%,0.68111906878449,05/28/21
RIOT,Riot Blockchain Inc,27.13,-1.37,-4.81%,3.41%,98043,42.1%,57.9%,0.72723428994239,05/28/21
C,Citigroup Inc,78.71,-0.050000000000011,-0.06%,0.00%,95136,46.4%,53.6%,0.86559466614374,05/28/21
QS,Quantumscape Corp,25.89,-0.36,-1.37%,0.74%,92446,21.7%,78.3%,0.27643769416638,05/28/21
CGC,Canopy Growth Corp,26.09,1.37,+5.54%,35.33%,89084,28.6%,71.4%,0.4000314317146,05/28/21
MARA,Marathon Digital Hldgs Inc,24.77,-1.07,-4.14%,1.21%,88643,37.5%,62.5%,0.60121026011561,05/28/21
INTC,Intel Corp,57.12,-0.61,-1.06%,0.00%,86578,33.6%,66.4%,0.50612344304502,05/28/21
XOM,Exxon Mobil Corp,58.37,-0.19,-0.32%,0.00%,86536,27.7%,72.3%,0.3830049064263,05/28/21
COIN,Coinbase Global Inc Cl A,236.54,-10.55,-4.27%,0.00%,85780,41.3%,58.7%,0.7028963929089,05/28/21
PFE,Pfizer Inc,38.73,0.079999999999998,+0.21%,0.00%,85769,36.5%,63.5%,0.57446535107848,05/28/21
CLF,Cleveland-Cliffs Inc,20.12,-0.079999999999998,-0.40%,15.32%,84467,34.2%,65.8%,0.52020229289275,05/28/21
