Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
TMV,20+ Year Trsy Bear 3X Direxion,74.95,0.25,+0.33%,17.38%,368,5.2%,94.8%,0.054441260744986,05/28/21
VYM,High Dividend Yield Vanguard ETF,106.81,0.15000000000001,+0.14%,0.00%,353,19.5%,80.5%,0.24295774647887,05/28/21
DRV,Real Estate Bear 3X Direxion,5.85,-0.13,-2.17%,0.88%,347,0.0%,100.0%,0,05/28/21
BOTZ,Global X Robotics & Artificial Intelligence ETF,34.25,0.36,+1.06%,4.07%,343,0.9%,99.1%,0.008823529411765,05/28/21
VEA,FTSE Developed Markets Vanguard,52.42,0.15,+0.29%,10.61%,333,94.3%,5.7%,16.526315789474,05/28/21
WEAT,Teucrium Wheat,6.6,-0.08,-1.20%,12.20%,326,2.1%,97.9%,0.021943573667712,05/28/21
ACWX,ACWI Ex US Ishares MSCI ETF,58.34,0.21,+0.36%,9.21%,318,3.1%,96.9%,0.032467532467532,05/28/21
IWO,Russell 2000 Growth Ishares ETF,298.14,0.31999999999999,+0.11%,0.00%,312,91.3%,8.7%,10.555555555556,05/28/21
PEJ,Dynamic Leisure and Entertainment Invesco ETF,47.22,-0.35,-0.74%,6.01%,300,5.7%,94.3%,0.060070671378092,05/28/21
QYLD,Global X Nasdaq-100 Covered Call ETF,22.21,0.03,+0.14%,2.51%,300,52.7%,47.3%,1.112676056338,05/28/21
SCHD,Schwab US Dividend Equity ETF,76.93,0.13000000000001,+0.17%,1.26%,297,25.3%,74.7%,0.33783783783784,05/28/21
DRN,Real Estate Bull 3X Direxion,20.05,0.38,+1.93%,2.80%,296,4.1%,95.9%,0.042253521126761,05/28/21
SOYB,Teucrium Soybean,23.38,-0.11,-0.47%,61.80%,295,6.8%,93.2%,0.072727272727273,05/28/21
PFF,US Preferred Stock Ishares ETF,38.85,0.22,+0.58%,6.32%,288,76.4%,23.6%,3.2352941176471,05/28/21
PBW,Wilderhill Clean Energy Invesco ETF,83.09,-0.58,-0.69%,31.74%,275,35.3%,64.7%,0.54494382022472,05/28/21
THCX,Spinnaker ETF Series The Cannabis ETF,17.85,0.61,+3.54%,3.11%,266,2.6%,97.4%,0.027027027027027,05/28/21
RWM,Russell 2000 Short Proshares,21.4,0.009999999999998,+0.05%,0.00%,249,0.8%,99.2%,0.008097165991903,05/28/21
MUB,Natl Muni Bond Ishares ETF,116.97,-0.030000000000001,-0.03%,11.66%,248,89.9%,10.1%,8.92,05/28/21
BLCN,Reality Shares Nasdaq Nextgen Economy ETF,47.42,-0.22,-0.46%,14.89%,248,82.3%,17.7%,4.6363636363636,05/28/21
TIP,TIPS Bond Ishares ETF,127.77,0.079999999999998,+0.06%,37.20%,245,7.3%,92.7%,0.079295154185022,05/28/21
CWB,Convertible Secs Barclays Capital SPDR,84.27,-0.18000000000001,-0.21%,42.92%,244,93.0%,7.0%,13.352941176471,05/28/21
ILF,Latin America 40 Ishares ETF,30.63,0.59,+1.96%,0.00%,235,0.4%,99.6%,0.004273504273504,05/28/21
VT,Total World Stock Index ETF Vanguard,102.91,0.28999999999999,+0.28%,2.62%,235,12.8%,87.2%,0.14634146341463,05/28/21
KBE,S&P Bank ETF SPDR,54.98,-0.040000000000006,-0.07%,3.91%,217,21.7%,78.3%,0.27647058823529,05/28/21
SJNK,ST High Yield Bond ETF SPDR,27.4,0,0.00%,20.54%,214,100.0%,0.0%,0,05/28/21
SLX,Steel Vaneck ETF,63.17,0.030000000000001,+0.05%,11.58%,210,36.7%,63.3%,0.57894736842105,05/28/21
PDBC,Optimum Yield Diversified Commodity Strategy,19.36,-0.05,-0.26%,1.75%,206,0.0%,100.0%,0,05/28/21
ASHS,Db-Xt Harvest CSI 500 China A ETF,38.1634,0.063300000000005,+0.17%,14.85%,197,0.0%,100.0%,0,05/28/21
IWD,Russell 1000 Value Ishares ETF,161.13,0.16999999999999,+0.11%,0.00%,196,85.2%,14.8%,5.7586206896552,05/28/21
RSP,S&P 500 EW Invesco ETF,151.12,0.28999999999999,+0.19%,0.00%,191,29.3%,70.7%,0.41481481481481,05/28/21
SPYG,SPDR S&P 500 Growth Portfolio ETF,59.73,0.15,+0.25%,0.00%,188,65.4%,34.6%,1.8923076923077,05/28/21
EWG,Germany Ishares MSCI ETF,35.78,0.14,+0.39%,4.80%,187,54.5%,45.5%,1.2,05/28/21
BNO,US Brent Oil,17.61,-0.030000000000001,-0.17%,3.15%,183,68.3%,31.7%,2.1551724137931,05/28/21
SGOL,Physical Gold ETF,18.3,0.060000000000002,+0.33%,37.17%,183,57.9%,42.1%,1.3766233766234,05/28/21
WOOD,Global Timber & Forestry Ishares ETF,91.48,-0.43,-0.47%,15.84%,182,47.3%,52.7%,0.89583333333333,05/28/21
VIXM,VIX Mid-Term Futures Proshares,32.13,0.11,+0.34%,88.56%,182,73.1%,26.9%,2.7142857142857,05/28/21
SJB,High Yld Short Proshares,18.2199,-9.9999999999767E-05,0.00%,14.74%,180,0.0%,100.0%,0,05/28/21
DPST,Regional Banks Bull 3X Direxion,271.16,-0.31,-0.11%,0.00%,177,60.5%,39.5%,1.5285714285714,05/28/21
VGT,Information Technology ETF Vanguard,372.28,1,+0.27%,0.00%,175,10.9%,89.1%,0.12179487179487,05/28/21
MCHI,China Ishares MSCI ETF,81.84,-0.33,-0.40%,3.05%,164,88.4%,11.6%,7.6315789473684,05/28/21
USD,Ultra Semiconductors Proshares,31.37,0.78,+2.55%,9.03%,163,0.0%,100.0%,0,05/28/21
REM,Mortgage Real Estate Ishares ETF,36.99,0.16,+0.43%,2.50%,161,36.0%,64.0%,0.5631067961165,05/28/21
